category_slug,category_name,category_icon,product_slug,product_name,product_description,variant_sku,format,paper_type,paper_weight,print_sides,finish,lead_time_days,qty_50_cost,qty_100_cost,qty_250_cost,qty_500_cost,qty_1000_cost,qty_2500_cost,qty_5000_cost,margin_percent
autocollants,Autocollants,✨,autocollants-vinyle,Autocollants vinyle,"Étiquettes vinyle résistantes pour usage extérieur",AUT-VIN-003,Rond 50mm,Vinyle blanc,90µ,RECTO,Pelliculage brillant,6,18.00,15.30,12.40,9.60,6.80,5.30,4.20,55
autocollants,Autocollants,✨,autocollants-decoupe,Autocollants découpe forme,"Autocollants avec découpe personnalisée",AUT-DEC-001,Forme libre max 100x100mm,Vinyle blanc,90µ,RECTO,Pelliculage mat,7,25.00,21.30,17.10,13.30,9.40,7.30,5.90,60
roll-ups,Roll-ups & Kakémonos,🎪,roll-up-standard,Roll-up standard,"Roll-up économique pour salons et événements",RUP-STD-001,85x200cm,Bâche PVC,440g,RECTO,Sans finition,5,35.00,29.80,24.00,18.70,13.20,10.20,8.20,45
roll-ups,Roll-ups & Kakémonos,🎪,roll-up-standard,Roll-up standard,"Roll-up économique pour salons et événements",RUP-STD-002,100x200cm,Bâche PVC,440g,RECTO,Sans finition,5,42.00,35.70,28.80,22.40,15.80,12.30,9.80,45
roll-ups,Roll-ups & Kakémonos,🎪,roll-up-premium,Roll-up premium,"Roll-up haut de gamme avec mécanisme renforcé",RUP-PRM-001,85x200cm,Bâche PVC,510g,RECTO,Pelliculage mat,6,55.00,46.80,37.70,29.40,20.70,16.10,12.90,50
roll-ups,Roll-ups & Kakémonos,🎪,roll-up-premium,Roll-up premium,"Roll-up haut de gamme avec mécanisme renforcé",RUP-PRM-002,100x200cm,Bâche PVC,510g,RECTO,Pelliculage mat,6,65.00,55.30,44.60,34.70,24.50,19.00,15.20,50
baches,Bâches & Banderoles,🏗️,baches-pvc,Bâches PVC,"Bâches publicitaires pour extérieur",BAC-PVC-001,100x50cm,PVC 510g,510g,RECTO,Sans finition,5,15.00,12.80,10.30,8.00,5.70,4.40,3.50,50
baches,Bâches & Banderoles,🏗️,baches-pvc,Bâches PVC,"Bâches publicitaires pour extérieur",BAC-PVC-002,200x100cm,PVC 510g,510g,RECTO,Sans finition,5,35.00,29.80,24.00,18.70,13.20,10.20,8.20,50
baches,Bâches & Banderoles,🏗️,baches-pvc,Bâches PVC,"Bâches publicitaires pour extérieur",BAC-PVC-003,300x100cm,PVC 510g,510g,RECTO,Sans finition,5,50.00,42.50,34.30,26.70,18.80,14.60,11.70,50
baches,Bâches & Banderoles,🏗️,baches-mesh,Bâches Mesh,"Bâches micro-perforées pour grandes surfaces",BAC-MSH-001,200x100cm,Mesh 270g,270g,RECTO,Sans finition,6,40.00,34.00,27.40,21.40,15.10,11.70,9.40,55
packaging,Packaging,📦,pochettes-documents,Pochettes à documents,"Chemises et pochettes personnalisées",PCH-DOC-001,A4 (220x310mm),Carton 350g,350g,RECTO_VERSO,Pelliculage mat,7,80.00,68.00,54.80,42.70,30.10,23.30,18.70,55
packaging,Packaging,📦,pochettes-documents,Pochettes à documents,"Chemises et pochettes personnalisées",PCH-DOC-002,A4 avec rabats,Carton 350g,350g,RECTO_VERSO,Pelliculage mat,7,95.00,80.80,65.10,50.80,35.80,27.70,22.20,55
packaging,Packaging,📦,boites-carton,Boîtes carton,"Emballages personnalisés",BOI-CAR-001,Petite (10x10x10cm),Carton ondulé,E,RECTO,Sans finition,10,150.00,127.50,102.80,80.10,56.50,43.80,35.00,60
packaging,Packaging,📦,boites-carton,Boîtes carton,"Emballages personnalisés",BOI-CAR-002,Moyenne (20x15x10cm),Carton ondulé,E,RECTO,Sans finition,10,180.00,153.00,123.40,96.10,67.80,52.50,42.00,60
papeterie,Papeterie,✉️,papier-en-tete,Papier à en-tête,"Papier à lettres personnalisé",PAP-ENT-001,A4,Offset blanc,90g,RECTO,Sans finition,5,25.00,21.30,17.10,13.30,9.40,7.30,5.90,50
papeterie,Papeterie,✉️,papier-en-tete,Papier à en-tête,"Papier à lettres personnalisé",PAP-ENT-002,A4,Offset blanc,120g,RECTO,Sans finition,5,30.00,25.50,20.60,16.00,11.30,8.80,7.00,50
papeterie,Papeterie,✉️,enveloppes,Enveloppes personnalisées,"Enveloppes avec impression logo",ENV-001,C5 (162x229mm),Offset blanc,90g,RECTO,Sans finition,6,35.00,29.80,24.00,18.70,13.20,10.20,8.20,55
papeterie,Papeterie,✉️,enveloppes,Enveloppes personnalisées,"Enveloppes avec impression logo",ENV-002,C4 (229x324mm),Offset blanc,90g,RECTO,Sans finition,6,45.00,38.30,30.90,24.00,17.00,13.10,10.50,55
papeterie,Papeterie,✉️,blocs-notes,Blocs-notes personnalisés,"Blocs avec couverture imprimée",BLO-NOT-001,A5 (50 feuilles),Offset blanc,80g,RECTO,Sans finition,7,40.00,34.00,27.40,21.40,15.10,11.70,9.40,55
papeterie,Papeterie,✉️,blocs-notes,Blocs-notes personnalisés,"Blocs avec couverture imprimée",BLO-NOT-002,A4 (50 feuilles),Offset blanc,80g,RECTO,Sans finition,7,55.00,46.80,37.70,29.40,20.70,16.10,12.90,55
